id_tienda,tienda,provincia_tienda,ciudad_tienda,municipio_tienda,domicilio_tienda,pais_tienda,coordenadas_tienda,telefono_tienda,correo_tienda
7750,,,,,"C/ Beller, Esq. Calle 20 de Diciembre, #101. Puerto Plata.",Republica Dominicana,,(809) 261-4317,
7752,,,,,"Prolongación de la Ave. 27 de Febrero, casi Esq. Los Beisbolitas. Occidental Mall. Local 102. Santo Domingo. R.D.",Republica Dominicana,,(809) 378-5798,
7753,,,,,"Carretera Sánchez, salida Baní/Azua. Baní/Peravia. Local no. S-01. Baní. R.D.",Republica Dominicana,,(809) 522-4454,
7754,,,,,"C/ Conde, Esq. Sánchez, Edificio Copelo #401. Santo Domingo. R.D.",Republica Dominicana,,(809) 687-5550,
7757,,,,,"Av. San Vicente de Paúl, Esq. Carretera Mella, MegaCentro Mall. Santo Domingo. R.D.",Republica Dominicana,,(809) 591-0081,
7758,,,,,"Av. 27 de Febrero, Esq. W. Churchill. Plaza Central #B-118. Piantinni. Santo Domingo. R.D.",Republica Dominicana,,(809) 872-0500,
7759,,,,,"Av. Mella #265, San Carlos. Santo Domingo. R.D.",Republica Dominicana,,(809) 682-2740,
7761,,,,,"C/ San Francisco, casi Esq. Papi Olivier #36 1-B, San Francisco de Macorís, R.D.",Republica Dominicana,,(809) 725-2051,
7763,,,,,"C/ Duarte, casi Esq. Independencia #186. Bonao. R.D.",Republica Dominicana,,(809) 296-0413,
7764,,,,,"Av. Independencia #45. San Pedro de Macorís, R.D.",Republica Dominicana,,(809) 246-6517,
7765,,,,,"Av. Independencia, Luperon Mall #41. Santo Domingo. R.D.",Republica Dominicana,,(809) 740-0106,
7767,,,,,"Av. 27 de Febrero, Esq. Av. Imbert, Colinas Mall #136. Santiago, R.D.",Republica Dominicana,,(809) 576-0809,
7769,,,,,Av. J. F. Kennedy Km. 5½. Ferrerteria Americana. Santo Domingo. R.D.,Republica Dominicana,,(809) 616-0525,
7770,,,,,Av. Charles De Gaulle. Esq. Carretera Villa Mella. Plaza El Dorado #28. R.D.,Republica Dominicana,,(809) 569-9032,
7771,,,,,"Autopista San Isidro, Plaza Marcos Marcial #5. Santo Domingo. R.D.",Republica Dominicana,,(809) 593-2059,
7772,,,,,"Calle El Sol #72. Santiago, R.D.",Republica Dominicana,,(809) 582-2171,
7774,,,,,"Av. Abraham Lincoln, Esq. John F. Kennedy. Agora Mall. Local 138. Santo Domingo. R.D.",Republica Dominicana,,(809) 540-3850,
7775,,,,,"Av. Juan Pablo Duarte, casi Esq. Estrella Sadhalá. Bella Terra Mall. Local A-28. Santiago. R. D.",Republica Dominicana,,(809) 583-8647,
7776,,,,,Av. Barceló. Cruce Coco Loco. San Juan Shopping Center. D-2. Bávaro. Punta Cana. R.D.,Republica Dominicana,,(809) 466-3045,
7778,,,,,C/ José A. Santana. Esq. Hermanos Goico Morales. Multiplaza Higuey. #602-B. Higuey. R.D.,Republica Dominicana,,(809) 469-1710,
7779,,,,,Av. J.F. Kennedy. Esq. Av. San Martin. Sambil. K-76. R.D.,Republica Dominicana,,(829) 547-4050,
7780,,,,,Av. Luperon. Esq. Av. Gustavo Mejía Ricart. Mall 77. Local #3. Herrera. R.D.,Republica Dominicana,,(809) 530-4070,
7782,,,,,"Antigua Carretera Sánchez, Esq. Los Padres, Madre Vieja Sur, Multiplaza La Sirena. San Cristóbal. R.D.",Republica Dominicana,,(809) 528-0166,
7783,,,,,"Autopista del Este, Esq. Ave. Circunvalación. Multiplaza La Romana. La Romana. R.D.",Republica Dominicana,,(809) 833-8014,
7784,,,,,"Carretera San Francisco de Macorís - Nagua (dentro de la Sirena), San Francisco. R.D.",Republica Dominicana,,(809) 244-1042,
7785,,,,,"Calle Profesor Juan Bosch #27, La Vega. R.D.",Republica Dominicana,,(809) 242-1254,
7786,,,,,"C/Duarte, esq. Independencia #31, Mao Valverde",Republica Dominicana,,(809) 572-2884,
7787,,,,,"Av. Los Palmeros Km 10 ½, Frailes 2, Las Américas Bravo. R.D.",Republica Dominicana,,(809) 598-9173,
7788,,,,,C/ Colón #47 (al frente de la Plaza San Juan entre las Calles Independencia y Trinitaria). San Juan de la Maguana. R.D.,Republica Dominicana,,(809) 557-9725,
7789,,,,,C/ 2da. Km 10 1/2 Autopista Duarte. Plaza Duarte (Carrefour) Local 45. R.D.,Republica Dominicana,,(809) 792-4717,
7790,,,,,C/ Presidente Vásquez #52. Moca. R.D.,Republica Dominicana,,(809) 578-6766,
7791,,,,,Av. República de Colombia #84. Altos de Arroyo Hondo. Santo Domingo. R.D.,Republica Dominicana,,(829) 893-3637,
7792,,,,,"Av. Estrella Sadalá #23, Edif. Bianco (3er Nivel). Santiago. R.D.",Republica Dominicana,,(809) 724-9278,
7793,,,,,Av. Charles Summer #21. Los Prados. Santo Domingo. R.D.,Republica Dominicana,,(809) 732-8386,
7794,,,,,Av. Venezuela #104. La Sirena. Los Mina. Santo Domingo. R.D.,Republica Dominicana,,(809) 262-9206,
7795,,,,,Av. Jacobo Majluta. Colina Centro. Colinas del Viento. Santo Domingo. R.D.,Republica Dominicana,,(809) 289-9392,
7796,,,,,"Av. Estrella Sadhalá, Esq. Av. Juan Pablo Duarte. Agora Santiago Center (1er. Nivel) Locales 11 y 12. Santiago. R.D.",Republica Dominicana,,(809) 737-9949,
7797,,,,,"Av. Charles de Gaulle, casi Esq. Carretera Mella. Multiplaza La Sirena. Local #30. Sto. Dgo. RD",Republica Dominicana,,(809) 957-6346,
7798,,,,,Av. Manolo Justo Tavarez. Cedaky Mall. Local 15 y 17. Puerto Plata. Dgo. RD,Republica Dominicana,,(809) 291-4844,
7500,,,,,Barrio la Jaugua salida a Santa Barbara City Plaza ,Honduras,,9959-6597,rs7500@payles.com
7367,,,,,KM2 Salida a la Lima Mega Mall San Pedro Sula HN ,Honduras,,9443-3098,rs7367@payless.com
7369,,,,,Uniplaza Juticalpa Olancho ,Honduras,,9990-2963,rs7369@payless.com
7370,,,,,"Mall Multiplaza ,salida Chamelecon contiguo al Hotel Intecontinental SPS ",Honduras,,9443-3103,rs7370@payless.com
7371,,,,,Mega Plaza Palenque San Pedro Sula ,Honduras,,9443-3093,rs7371@payless.com
7372,,,,,Col.Payaqui Fte al Hotel Intercontinental Mall Multiplaza TGU ,Honduras,,9443-3108,RS7372@payless.com
7373,,,,,Barrio el Centro Calle Peatonal Fte a celtel TGU ,Honduras,,9443-3075,rs7373@payless.com
7374,,,,,1 Era Calle contiguo a Farmacia Machi Progreso Yoro ,Honduras,,9443-3106,rs7374@payless.com
7375,,,,,"Mall Multiplaza La Ceiba ,La Ceiba Atlantida ",Honduras,,9443-3090,RS7375@payless.com 
7376,,,,,Plaza Miraflores Blvd Centro America 2do Nivel TGU ,Honduras,,9443-3084,RS7376@payless.com
7377,,,,,3Era Avenida Centro San Pedro Sula HN ,Honduras,,9443-3086,rs7377@payless.com
7378,,,,,"3 Y4 Calle centro de Pto. Cortes, Pto. Cortes HN",Honduras,,9443-3099,rs7378@payless.com
7379,,,,,"Esquina Opuesta Supermercado Paico Siguatepeque, Comayagua ",Honduras,,9443-3082,rs7379@payless.com
7380,,,,,"Calle Vicente Williams contiguo a la farmacia La Nueva , Choluteca ",Honduras,,9443-3077,rs7380@payless.com
7381,,,,,MetroMall TGU Blvd Fuerzas Armadas y Blvd Cominidad Europea TGU ,Honduras,,9443-3092,rs7381@payless.com
7382,,,,,MegaPlaza Progreso Carretera Salida a Tela Progreso Yoro ,Honduras,,9443-3089,rs7382@payless.com
7383,,,,,"Centro Comercial Plaza Premier, Mall Premier Comayagua ",Honduras,,9443-3078,rs7383@payless.com
7384,,,,,Cascadas Mall entre Blvd Fuerzas Armadas y Blvd Comunidad Europea TGU ,Honduras,,9443-3100,rs7384@payless.com
7385,,,,,City Mall Locales A-1-7 Avenida Circunvalacion San Pedro Sula HN ,Honduras,,9999-6270,RS7385@payles.com
7386,,,,,Nocacentro Parqueo Los Proceres fte a restaurante Chilli´s Edif. Novacentro TGU ,Honduras,,9443-3074,rs7386@payless.com
7387,,,,,Mall Premier Comayaguela Blvdd del Norte Tgu ,Honduras,,9443-3080,rs7387@payless.com
7388,,,,,City Mall Col. Las Torres TGU ,Honduras,,9443-3104,rs7388@payless.com 
7389,,,,,"UniMall Choluteca , Choluteca HN ",Honduras,,9999-6274,rs7389@payless.com
7392,,,,,UniPalza Santa Rosa de Copan ,Honduras,,9999-6267,rs7392@payless.com
7393,,,,,Mall MegaPlaza Roatan HN ,Honduras,,9439-9396,rs7393@payless.com
7394,,,,,Col.Zarzal fte a la gasolinera texaco carretera panamericana CA6 Danli,Honduras,,9901-0647,rs7394@payless.com
7395,,,,,Mall Galerias del Valle San Pedro Sula HN ,Honduras,,9447-1958,rs7395@payless.com
7396,,,,,Plaza Unicentro San Lorenzo Valle ,Honduras,,9990-2957,rs7396@payless.com
7398,,,,,Plaza villa rosa local C01 Villanueva Cortes,Honduras,,9835-3582,rs7398@payless.com
7399,,,,,"Mega Plaza Toca local LC 18,19,20 Tocoa Colon ",Honduras,,9576-9999,rs7399@payless.com
7305,Portal 80,,,,,Colombia,,,
7311,Diver Plaza,,,,,Colombia,,,
7313,Santafe Bogotá,,,,,Colombia,,,
7314,Restrepo,,,,,Colombia,,,
7320,Ferias,,,,,Colombia,,,
7337,Gran Plaza El Ensueño,,,,,Colombia,,,
7342,Lo Nuestro Bogotá,,,,,Colombia,,,
7432,SS Plaza Central,,,,,Colombia,,,
7442,El Edén,,,,,Colombia,,,
7449,Exito Floresta,,,,,Colombia,,,
7459,Dark Store,,,,,Colombia,,,
7466,Gran Plaza Bosa,,,,,Colombia,,,
7929,Centro Restrepo,,,,,Colombia,,,
7939,Dark Hub,,,,,Colombia,,,
7929,Mercurio,,,,,Colombia,,,
7939,Ventura Terreros,,,,,Colombia,,,
7353,Cielos Abiertos,,,,,Colombia,,,
7361,San Silvestre,,,,,Colombia,,,
7330,Paseo Bolivar,,,,,Colombia,,,
7345,Unico Barranquilla,,,,,Colombia,,,
7458,Parque Alegra,,,,,Colombia,,,
7339,Cosmocentro,,,,,Colombia,,,
7347,Jardin Plaza Cali,,,,,Colombia,,,
7352,Unico Cali,,,,,Colombia,,,
7933,Cenco Limonar,,,,,Colombia,,,
7946,Valle de Lili,,,,,Colombia,,,
7947,Downtown Cali,,,,,Colombia,,,
7328,Caribe Plaza,,,,,Colombia,,,
7332,Paseo La Castellana,,,,,Colombia,,,
7307,Centro Chia,,,,,Colombia,,,
7325,Downtown Duitama,,,,,Colombia,,,
7468,Pitalito,,,,,Colombia,,,
7445,Aqcua,,,,,Colombia,,,
7358,Centro Manizales,,,,,Colombia,,,
7457,La Central Medellín,,,,,Colombia,,,
7948,Florida Medellin,,,,,Colombia,,,
7319,Mayorca,,,,,Colombia,,,
7447,Arkadia ,,,,,Colombia,,,
7431,Alameda Sinu,,,,,Colombia,,,
7444,Nuestro Montería,,,,,Colombia,,,
7355,Ecoplaza Mall,,,,,Colombia,,,
7326,Unico Neiva,,,,,Colombia,,,
7943,Exito Pasto,,,,,Colombia,,,
7333,Unico Pasto,,,,,Colombia,,,
7360,Unico Pereira,,,,,Colombia,,,
7344,Downtown Santa Marta,,,,,Colombia,,,
7348,Guacari,,,,,Colombia,,,
7467,Carnaval,,,,,Colombia,,,
7336,Unicentro Tunja,,,,,Colombia,,,
7362,Guatapuri,,,,,Colombia,,,
7446,Mall Mayales,,,,,Colombia,,,
7331,Unico Villavicencio,,,,,Colombia,,,
7441,Unicentro Yopal,,,,,Colombia,,,
7613,6a. Avenida (Zona 1),,,Ciudad de Guatemala,6a. Avenida 12-00 Zona 1,Guatemala,,4058-0608,
7612,18 Calle (Zona 1),,,Ciudad de Guatemala,18 Calle 8-05 Zona 1,Guatemala,,4058-0602,
7633,Plaza Vivar,,,Ciudad de Guatemala,6a. Ave. y 10a. Calle Zona 1,Guatemala,,2232-4521,
7605,Zona 4,,,Ciudad de Guatemala,6a. Ave. 0-60 Zona 4,Guatemala,,4058-0290,
7615,Megaseis,,,Ciudad de Guatemala,15 Avenida 16-11 Zona 6,Guatemala,,4058-0657,
7606,Peri Roosevelt,,,Ciudad de Guatemala,Calzada Roosevelt 25-50 Zona 11,Guatemala,,4058-0376,
7620,Aguilar Batres,,,Ciudad de Guatemala,Calz. Aguilar Batres y 13 C. Zona 11,Guatemala,,4058-0700,
7637,Galerías La Pradera,,,Ciudad de Guatemala,20 Calle 25-85 Zona 10,Guatemala,,4057-9997,
7607,Los Próceres,,,Ciudad de Guatemala,16 Calle 2-00 Zona 10,Guatemala,,4058-1047,
7647,Oakland Mall,,,Ciudad de Guatemala,"Diagonal 6, 13-01, Zona 10",Guatemala,,4058-1599,
7602,Parque Las Américas,,,Ciudad de Guatemala,7a. Calle y 2da. Ave. Zona 14,Guatemala,,4058-0970,
7631,Vista Hermosa,,,Ciudad de Guatemala,1a. Calle 18-83 Zona 15,Guatemala,,4057-9660,
7411,Santa Amelia,,,Ciudad de Guatemala,Blv. Centro Médico Militar 13-27 Z. 16,Guatemala,,4493-4793,
7648,Portales,,,Ciudad de Guatemala,Ruta al Atlántico 3-20 Zona 17,Guatemala,,4024-0236,
